from,to,length,path
N054,N034,928.6461942300001,"['N054', 'N038', 'N040', 'N034']"
N054,N047,1625.5639322499999,"['N054', 'N056', 'N051', 'N047']"
N054,N051,812.24009185,"['N054', 'N056', 'N051']"
N054,N038,516.4043517,"['N054', 'N038']"
N054,N040,730.8117388300001,"['N054', 'N038', 'N040']"
N054,N056,422.82323178999997,"['N054', 'N056']"
N054,N054,0.0,
N054,N050,401.6354296,"['N054', 'N050']"
N054,N068,1330.3191195499999,"['N054', 'N056', 'N051', 'N068']"
N054,N063,685.18287789,"['N054', 'N063']"
N054,N070,648.1310565,"['N054', 'N070']"
N054,N082,968.4015014999999,"['N054', 'N082']"
N054,N124,2832.41126752,"['N054', 'N056', 'N051', 'N068', 'N124']"
N054,N104,1538.94493407,"['N054', 'N063', 'N104']"
N054,N098,1139.48988662,"['N054', 'N070', 'N098']"
N054,N084,785.28376248,"['N054', 'N084']"
N054,N142,2082.1700077200003,"['N054', 'N070', 'N142']"
N054,N159,2647.0504105200002,"['N054', 'N070', 'N098', 'N159']"
N054,N161,3032.8383750899998,"['N054', 'N070', 'N098', 'N161']"
N054,N176,3262.47477882,"['N054', 'N070', 'N098', 'N159', 'N176']"
N054,N177,3077.06079622,"['N054', 'N070', 'N142', 'N177']"
N050,N021,1767.9479244,"['N050', 'N026', 'N021']"
N050,N024,2276.69055843,"['N050', 'N038', 'N040', 'N034', 'N031', 'N024']"
N050,N029,2146.3603546500003,"['N050', 'N054', 'N056', 'N051', 'N036', 'N029']"
N050,N031,1677.23908263,"['N050', 'N038', 'N040', 'N034', 'N031']"
N050,N026,1175.0106302,"['N050', 'N026']"
N050,N036,1618.6249929500002,"['N050', 'N054', 'N056', 'N051', 'N036']"
N050,N034,1327.34056163,"['N050', 'N038', 'N040', 'N034']"
N050,N047,2027.19936185,"['N050', 'N054', 'N056', 'N051', 'N047']"
N050,N051,1213.8755214500002,"['N050', 'N054', 'N056', 'N051']"
N050,N038,915.0987190999999,"['N050', 'N038']"
N050,N040,1129.50610623,"['N050', 'N038', 'N040']"
N050,N056,824.4586613900001,"['N050', 'N054', 'N056']"
N050,N054,401.6354296,"['N050', 'N054']"
N050,N050,0.0,
N050,N068,1731.9545491500003,"['N050', 'N054', 'N056', 'N051', 'N068']"
N050,N063,1086.81830749,"['N050', 'N054', 'N063']"
N050,N070,1049.7664861,"['N050', 'N054', 'N070']"
N050,N082,1235.7588207499998,"['N050', 'N082']"
N050,N124,3234.04669712,"['N050', 'N054', 'N056', 'N051', 'N068', 'N124']"
N050,N104,1940.5803636700002,"['N050', 'N054', 'N063', 'N104']"
N050,N098,1541.12531622,"['N050', 'N054', 'N070', 'N098']"
N050,N084,1186.91919208,"['N050', 'N054', 'N084']"
N050,N142,2483.8054373200002,"['N050', 'N054', 'N070', 'N142']"
N050,N159,3048.68584012,"['N050', 'N054', 'N070', 'N098', 'N159']"
N050,N161,3434.4738046899997,"['N050', 'N054', 'N070', 'N098', 'N161']"
N050,N176,3664.11020842,"['N050', 'N054', 'N070', 'N098', 'N159', 'N176']"
N050,N177,3353.7324288699997,"['N050', 'N177']"
N068,N021,2276.3920881,"['N068', 'N036', 'N031', 'N024', 'N021']"
N068,N024,1699.7256503999997,"['N068', 'N036', 'N031', 'N024']"
N068,N029,1128.6655688,"['N068', 'N036', 'N029']"
N068,N031,1100.2741746,"['N068', 'N036', 'N031']"
N068,N026,1783.0339227,"['N068', 'N036', 'N031', 'N026']"
N068,N036,600.9302071,"['N068', 'N036']"
N068,N034,1039.1248943,"['N068', 'N051', 'N034']"
N068,N047,776.7619323999999,"['N068', 'N047']"
N068,N051,518.0790277,"['N068', 'N051']"
N068,N038,1260.85152053,"['N068', 'N051', 'N040', 'N038']"
N068,N040,1046.4441334,"['N068', 'N051', 'N040']"
N068,N056,907.49588776,"['N068', 'N051', 'N056']"
N068,N054,1330.3191195499999,"['N068', 'N051', 'N056', 'N054']"
N068,N050,1731.9545491499998,"['N068', 'N051', 'N056', 'N054', 'N050']"
N068,N068,0.0,
N068,N063,963.9361923099999,"['N068', 'N051', 'N063']"
N068,N070,1169.95151585,"['N068', 'N070']"
N068,N082,2213.30779466,"['N068', 'N070', 'N082']"
N068,N124,1502.09214797,"['N068', 'N124']"
N068,N104,842.8190682999999,"['N068', 'N104']"
N068,N098,1180.3248953300001,"['N068', 'N098']"
N068,N084,1726.81949543,"['N068', 'N084']"
N068,N142,2341.1138163699998,"['N068', 'N142']"
N068,N159,2200.2577523699997,"['N068', 'N159']"
N068,N161,2286.16143084,"['N068', 'N161']"
N068,N176,2815.6821206699997,"['N068', 'N159', 'N176']"
N068,N177,3180.7394588699995,"['N068', 'N177']"
N063,N021,2154.69232461,"['N063', 'N040', 'N034', 'N031', 'N024', 'N021']"
N063,N024,1578.0258869099998,"['N063', 'N040', 'N034', 'N031', 'N024']"
N063,N029,1378.34199781,"['N063', 'N051', 'N036', 'N029']"
N063,N031,978.57441111,"['N063', 'N040', 'N034', 'N031']"
N063,N026,1661.33415921,"['N063', 'N040', 'N034', 'N031', 'N026']"
N063,N036,850.60663611,"['N063', 'N051', 'N036']"
N063,N034,628.6758901100001,"['N063', 'N040', 'N034']"
N063,N047,1259.18100501,"['N063', 'N051', 'N047']"
N063,N051,445.85716461,"['N063', 'N051']"
N063,N038,632.95311469,"['N063', 'N038']"
N063,N040,430.84143471000004,"['N063', 'N040']"
N063,N056,268.77387779000003,"['N063', 'N056']"
N063,N054,685.18287789,"['N063', 'N054']"
N063,N050,1086.81830749,"['N063', 'N054', 'N050']"
