condition,nodes,edges,length,objVal,calcTime
104_76_spath,"[104, 105, 88, 89, 72, 76]",[],5340,0.013665938999999998,0
104_76_10000_F,"[72, 73, 74, 105, 76, 109, 108, 104, 51, 52, 53, 54, 89, 91]","[(51, 52), (52, 54), (53, 51), (54, 74), (72, 73), (73, 53), (74, 76), (89, 72), (91, 89), (104, 105), (105, 108), (108, 109), (109, 91)]",9964,22.464853802,13.597627639770508
104_76_15000_F,"[89, 72, 73, 74, 106, 76, 77, 78, 79, 110, 109, 105, 104, 52, 54, 55, 57, 58, 91, 92]","[(52, 55), (54, 52), (55, 57), (57, 58), (58, 78), (72, 73), (73, 74), (74, 54), (77, 79), (78, 77), (79, 76), (89, 72), (91, 89), (92, 91), (104, 105), (105, 106), (106, 109), (109, 110), (110, 92)]",14835,71.6842525,15.219289779663086
104_76_20000_F,"[33, 34, 35, 36, 37, 51, 52, 54, 55, 56, 57, 58, 72, 73, 74, 76, 77, 78, 79, 89, 91, 92, 104, 105, 106, 109, 110]","[(33, 36), (34, 35), (35, 37), (36, 34), (37, 56), (51, 33), (52, 51), (54, 52), (55, 57), (56, 55), (57, 58), (58, 78), (72, 73), (73, 74), (74, 54), (77, 79), (78, 77), (79, 76), (89, 72), (91, 89), (92, 91), (104, 105), (105, 106), (106, 109), (109, 110), (110, 92)]",19996,141.677944997,4.791181564331055
104_76_25000_F,"[20, 21, 32, 33, 34, 35, 36, 37, 51, 52, 53, 54, 55, 56, 57, 58, 70, 71, 73, 74, 76, 77, 78, 79, 80, 89, 91, 92, 104, 105, 106, 108, 109, 110, 112]","[(20, 21), (21, 35), (32, 33), (33, 36), (34, 20), (35, 37), (36, 34), (37, 56), (51, 32), (52, 54), (53, 51), (54, 74), (55, 52), (56, 58), (57, 55), (58, 78), (70, 73), (71, 70), (73, 53), (74, 76), (77, 57), (78, 80), (79, 77), (80, 79), (89, 71), (91, 89), (92, 91), (104, 105), (105, 106), (106, 108), (108, 109), (109, 112), (110, 92), (112, 110)]",24905,199.54728653299995,7.23259162902832
104_95_spath,"[104, 105, 106, 91, 92, 95]",[],7376,0.550322767,0
104_95_10000_F,"[104, 105, 106, 108, 109, 110, 89, 91, 92, 95]","[(89, 92), (91, 89), (92, 110), (104, 105), (105, 106), (106, 108), (108, 109), (109, 91), (110, 95)]",9755,10.153559098999997,12.602294921875
104_95_15000_F,"[96, 72, 73, 74, 106, 105, 77, 109, 79, 104, 52, 54, 55, 89, 58, 91, 94, 95]","[(52, 55), (54, 52), (55, 58), (58, 77), (72, 73), (73, 74), (74, 54), (77, 79), (79, 94), (89, 72), (91, 89), (94, 96), (96, 95), (104, 105), (105, 106), (106, 109), (109, 91)]",14935,40.736845272000004,3018.964008331299
104_95_20000_F,"[32, 33, 34, 36, 51, 52, 54, 55, 57, 58, 72, 73, 74, 77, 78, 79, 89, 91, 94, 95, 96, 104, 105, 106, 109]","[(32, 33), (33, 34), (34, 36), (36, 55), (51, 32), (52, 51), (54, 52), (55, 57), (57, 58), (58, 78), (72, 73), (73, 74), (74, 54), (77, 79), (78, 77), (79, 94), (89, 72), (91, 89), (94, 96), (96, 95), (104, 105), (105, 106), (106, 109), (109, 91)]",19866,99.68221436,5602.414394378662
104_95_25000_F,"[32, 33, 34, 35, 36, 37, 51, 52, 54, 55, 56, 57, 58, 72, 73, 74, 77, 78, 79, 89, 91, 92, 94, 95, 96, 104, 105, 106, 108, 109, 110, 112]","[(32, 33), (33, 36), (34, 35), (35, 37), (36, 34), (37, 56), (51, 32), (52, 51), (54, 52), (55, 57), (56, 55), (57, 58), (58, 78), (72, 73), (73, 74), (74, 54), (77, 79), (78, 77), (79, 94), (89, 72), (91, 89), (92, 91), (94, 96), (96, 95), (104, 105), (105, 106), (106, 108), (108, 109), (109, 112), (110, 92), (112, 110)]",24978,172.85781905399998,245.898193359375
104_126_spath,"[104, 105, 88, 89, 72, 73, 54, 55, 56, 125, 126]",[],8911,1.079628604,0
