from,to,length,path
20,118,2497,"[20, 21, 117, 118]"
20,119,2371,"[20, 21, 119]"
20,120,2657,"[20, 21, 117, 120]"
20,121,2935,"[20, 35, 121]"
20,122,3553,"[20, 21, 117, 120, 122]"
20,123,3436,"[20, 21, 117, 120, 123]"
20,124,3718,"[20, 21, 117, 120, 124]"
20,125,2685,"[20, 34, 37, 125]"
20,126,3551,"[20, 34, 37, 125, 126]"
20,127,3425,"[20, 34, 37, 56, 127]"
20,129,4461,"[20, 21, 117, 120, 124, 129]"
20,131,3861,"[20, 34, 36, 55, 58, 131]"
20,135,4669,"[20, 34, 37, 125, 135]"
21,10,1583,"[21, 19, 10]"
21,17,1961,"[21, 20, 17]"
21,18,1258,"[21, 18]"
21,19,761,"[21, 19]"
21,20,974,"[21, 20]"
21,21,0,
21,29,3557,"[21, 20, 29]"
21,32,2850,"[21, 35, 36, 33, 32]"
21,33,2207,"[21, 35, 36, 33]"
21,34,1178,"[21, 34]"
21,35,597,"[21, 35]"
21,36,1603,"[21, 35, 36]"
21,37,1213,"[21, 35, 37]"
21,46,5411,"[21, 20, 29, 47, 46]"
21,47,4495,"[21, 20, 29, 47]"
21,48,3770,"[21, 35, 36, 33, 51, 48]"
21,49,4638,"[21, 35, 36, 33, 51, 48, 49]"
21,50,4062,"[21, 35, 36, 33, 51, 50]"
21,51,3075,"[21, 35, 36, 33, 51]"
21,52,2559,"[21, 35, 36, 52]"
21,53,3460,"[21, 35, 36, 52, 53]"
21,54,2984,"[21, 35, 37, 55, 54]"
21,55,2148,"[21, 35, 37, 55]"
21,56,2037,"[21, 35, 37, 56]"
21,57,2957,"[21, 35, 37, 55, 57]"
21,58,2775,"[21, 35, 37, 56, 58]"
21,66,5775,"[21, 35, 36, 33, 51, 48, 49, 66]"
21,68,5912,"[21, 35, 36, 33, 51, 50, 69, 68]"
21,69,5157,"[21, 35, 36, 33, 51, 50, 69]"
21,70,4743,"[21, 35, 37, 55, 54, 73, 70]"
21,71,5549,"[21, 35, 37, 55, 54, 73, 70, 71]"
