from,to,value
55,35,0.25632248
55,36,0
55,37,0
55,46,0
55,47,0
55,48,0
55,49,0.178559316
55,50,0.127542368
55,51,0.585730424
55,52,0.102033895
55,53,0.178559316
55,54,0
55,55,0
55,56,0.127542368
55,57,0.28059321
55,58,0.306101684
55,66,0.102033895
55,68,0.025508474
55,69,0.051016947
55,70,0.102033895
55,71,0
55,72,0
55,73,0.688728789
55,74,0.255084737
55,76,0
55,77,0.459152526
55,78,0.201786687
55,79,0
55,80,0.255084737
55,85,0
55,86,0.025508474
55,88,0
55,89,0.051016947
55,90,0
55,91,0.076525421
55,92,0.229576263
55,93,0
55,94,0.153050842
55,95,0.102033895
55,96,0.025508474
55,97,0
55,104,0
55,105,0
55,106,0.025508474
55,108,0
55,109,0.510169473
55,110,0.562651406
55,111,0.025508474
55,112,0
55,116,0
55,117,0
55,118,0.178559316
55,119,0
55,120,0.229576263
55,121,0
55,122,0
55,123,0.076525421
55,124,0.076525421
55,125,0
55,126,0
55,127,0
55,129,0
55,131,0
55,135,0.153050842
56,10,0
56,17,0.056045706
56,18,0
56,19,0
56,20,0
56,21,0.252205676
56,29,0
56,32,0.123055302
56,33,0.056045706
56,34,0.824564217
56,35,0.281588278
56,36,0
56,37,0
56,46,0
56,47,0
56,48,0
